SPECIES,latitude,longitude
Lucombe Oak,50.403591,-4.1386426
Sessile Oak,50.405966,-4.1410154
Wych Elm,50.392225,-4.1301254
Pedunculate Oak,50.407321,-4.0963069
Pedunculate Oak,50.414959,-4.1066383
Pedunculate Oak,50.400328,-4.125268
Pedunculate Oak,50.400146,-4.1254006
Pedunculate Oak,50.403957,-4.1279776
Lucombe Oak,50.403693,-4.1276703
Horse Chestnut,50.403698,-4.127389
Yew,50.40111,-4.1511959
Yew,50.40111,-4.1511959
Pedunculate Oak,50.401123,-4.1504929
Pedunculate Oak,50.401219,-4.1502158
Pedunculate Oak,50.401223,-4.1499486
Pedunculate Oak,50.39649,-4.1626796
Hawthorn,50.396303,-4.1630792
Pedunculate Oak,50.398306,-4.1374197
Pedunculate Oak,50.398372,-4.1382669
Pedunculate Oak,50.398156,-4.1353022
Pedunculate Oak,50.398065,-4.135875
Pedunculate Oak,50.398062,-4.1360156
Pedunculate Oak,50.398058,-4.1362828
Pedunculate Oak,50.39805,-4.1367186
Smooth-leaved Elm,50.42759,-4.1584646
Smooth-leaved Elm,50.42759,-4.1584646
Smooth-leaved Elm,50.42759,-4.1584646
Maple,50.42759,-4.1584646
Maple,50.42759,-4.1584646
Pedunculate Oak,50.429283,-4.1597948
London Plane,50.427275,-4.1560426
Beech,50.426316,-4.1548867
Sweet Chestnut,50.426154,-4.1534573
Sweet Chestnut,50.426154,-4.1534573
Pedunculate Oak,50.427254,-4.1528173
Beech,50.438487,-4.1086689
Pear,50.416283,-4.1183948
Sweet Chestnut,50.384667,-4.0297542
Pedunculate Oak,50.385761,-4.029393
Pedunculate Oak,50.384778,-4.0290556
Pedunculate Oak,50.380204,-4.0385799
Pedunculate Oak,50.380204,-4.0385799
Sycamore,50.383597,-4.0502462
Sycamore,50.383864,-4.0504124
Sycamore,50.383864,-4.0504124
Sycamore,50.384034,-4.0504198
Sycamore,50.384136,-4.0502694
Sycamore,50.384226,-4.0502733
Sycamore,50.384312,-4.0499957
Sycamore,50.383695,-4.0492657
Lime,50.384148,-4.0495807
Maple,50.384151,-4.0494261
Sycamore,50.384156,-4.0491449
Sycamore,50.384067,-4.0485925
Sycamore,50.384168,-4.0484421
Silver Pendant Lime,50.385887,-4.0524692
lime,50.385887,-4.0524692
Sweet Chestnut,50.385887,-4.0524692
Turkey Oak,50.385887,-4.0524692
Pedunculate Oak,50.384778,-4.082455
Pedunculate Oak,50.384699,-4.0813261
Pedunculate Oak,50.384702,-4.0811715
Sweet Chestnut,50.38211,-4.0807767
Sweet Chestnut,50.382186,-4.0810613
Cedar of Lebanon,50.38201,-4.081349
Pedunculate Oak,50.382196,-4.0805132
Lucombe Oak,50.382837,-4.0798238
Sycamore,50.380313,-4.0801494
Tulip Tree,50.379654,-4.0817944
unkown,50.379437,-4.0893945
Beech,50.382711,-4.0823644
Red Oak,50.381931,-4.0802202
Pin Oak,50.380583,-4.0801612
Holm Oak,50.384229,-4.0829795
Turkey Oak,50.379452,-4.0930522
Persian Ironwood,50.37929,-4.0724951
Maple,50.381844,-4.0800617
Common Lime,50.381763,-4.0800582
Lime,50.382161,-4.0824669
Atlas Cedar,50.38212,-4.0802285
Juniper,50.382299,-4.0802364
Eastern Hemlock,50.382749,-4.080256
Coast Redwood,50.382929,-4.0802639
Cork Oak,50.382659,-4.0802521
Sweet Chestnut,50.382558,-4.0803883
Coast Redwood,50.382746,-4.0803966
Japanese Red Cedar,50.382825,-4.0805407
Wild Cherry,50.382741,-4.0806637
Pedunculate Oak,50.382553,-4.0806554
Yew,50.382299,-4.0802364
Yew,50.381763,-4.0800582
Black Walnut,50.382659,-4.0802521
Monterey Pine,50.382117,-4.0803691
Eucalyptus,50.382555,-4.0805289
Maple,50.382465,-4.080525
Horse Chestnut,50.382294,-4.0805175
London Plane,50.382558,-4.0803883
Ash,50.376528,-4.0760316
Pedunculate Oak,50.386138,-4.0330667
Pedunculate Oak,50.386131,-4.0334743
Sweet Chestnut,50.3837,-4.028461
Common Lime,50.387101,-4.0248078
Common Lime,50.387269,-4.0249556
Sweet Chestnut,50.38697,-4.026631
Hawthorn,50.386579,-4.0263611
Common Lime,50.388038,-4.024693
Common Lime,50.386689,-4.0278007
Common Lime,50.386738,-4.0275637
Horse Chestnut,50.386621,-4.0285856
Pedunculate Oak,50.387315,-4.0377735
Pedunculate Oak,50.387315,-4.0377735
Pedunculate Oak,50.3871,-4.038735
Pedunculate Oak,50.387569,-4.0386566
Pedunculate Oak,50.387476,-4.040383
Pedunculate Oak,50.387472,-4.0431543
Pedunculate Oak,50.387066,-4.0421943
Ash,50.386618,-4.0415842
Pedunculate Oak,50.386848,-4.0408062
Pedunculate Oak,50.387088,-4.0409713
Pedunculate Oak,50.387182,-4.040708
Pedunculate Oak,50.386583,-4.0389801
Pedunculate Oak,50.386588,-4.038713
Ash,50.386751,-4.0493975
Sycamore,50.386675,-4.0491129
Horse Chestnut,50.386407,-4.0489747
Horse Chestnut,50.386234,-4.0481091
Common Lime,50.386075,-4.0473989
Common Lime,50.386161,-4.0471353
Sycamore,50.400972,-4.114602
Sycamore,50.400972,-4.114602
Pedunculate Oak,50.391453,-4.1013752
Pedunculate Oak,50.394908,-4.1407844
Pedunculate Oak,50.402503,-4.1283206
Pedunculate Oak,50.402861,-4.1283929
Ash,50.40303,-4.1284849
Pedunculate Oak,50.389257,-4.0500683
Beech,50.389506,-4.0517814
Sweet Chestnut,50.386062,-4.052744
Sweet Chestnut,50.381691,-4.0460848
Pedunculate Oak,50.381205,-4.0476252
Pedunculate Oak,50.381909,-4.0434215
Pedunculate Oak,50.380998,-4.0414975
Pedunculate Oak,50.381023,-4.0400779
Pedunculate Oak,50.380149,-4.0386338
Hawthorn,50.380149,-4.0386338
Hazel,50.380149,-4.0386338
Sweet Chestnut,50.384668,-4.0460863
Beech,50.384541,-4.0456588
Common Lime,50.384133,-4.0458241
Beech,50.38466,-4.0455092
Common Lime,50.384562,-4.0454628
Common Lime,50.384796,-4.045501
Beech,50.385449,-4.0461762